,Cloudiness (%),Humidity (%),Latitude,Temperature (F),Windspeed (mph)
0,68,100,62.23,50.0,14.99
1,76,100,-46.13,43.69,8.63
2,56,100,-33.65,63.67,10.76
3,90,100,69.45,26.6,9.17
4,75,54,-54.8,55.4,4.7
5,0,93,-34.53,60.43,12.55
6,90,86,53.05,41.0,26.84
7,75,87,52.62,51.35,10.29
8,0,77,-33.93,60.8,19.46
9,88,96,67.67,30.64,6.96
10,0,100,-10.62,78.25,3.71
11,12,100,-23.12,70.78,15.23
12,92,99,32.44,51.25,2.15
13,0,98,-37.62,54.44,10.65
14,0,81,50.35,25.91,4.72
15,20,29,27.5,78.74,4.5
16,68,100,72.79,27.89,6.17
17,90,74,70.47,28.4,13.87
18,0,68,50.72,25.78,6.73
19,0,54,11.11,76.49,2.71
20,88,85,62.1,16.51,4.83
21,20,29,27.5,78.74,4.5
22,88,100,-9.8,80.05,11.88
23,75,51,-41.32,60.8,6.93
24,44,100,-2.02,82.93,0.92
25,12,34,11.71,83.2,5.28
26,0,98,-37.62,54.44,10.65
27,75,54,-54.8,55.4,4.7
28,36,100,63.9,36.98,12.77
29,0,34,31.67,68.0,5.82
30,75,45,42.65,71.33,9.17
31,0,78,-12.93,78.8,2.24
32,68,91,3.65,77.66,2.37
33,75,87,52.62,51.35,10.29
34,40,53,32.67,71.6,11.41
35,0,26,25.93,72.71,7.18
36,40,86,56.01,37.4,6.71
37,92,23,22.68,86.26,10.98
38,90,100,69.45,26.6,9.17
39,0,80,-38.55,56.2,6.17
40,0,31,8.12,98.36,13.78
41,0,77,-33.93,60.8,19.46
42,90,82,-2.88,62.6,4.7
43,64,100,69.7,24.34,16.13
44,0,77,-33.93,60.8,19.46
45,0,71,-33.7,61.64,26.64
46,80,85,71.97,12.46,2.48
47,75,62,-42.78,57.2,11.41
48,8,100,-9.66,71.99,3.38
49,90,69,47.67,37.4,31.09
50,0,73,-15.77,71.6,3.36
51,0,100,-10.62,78.25,3.71
52,90,100,48.68,48.2,8.95
53,75,62,-42.78,57.2,11.41
54,20,29,27.5,78.74,4.5
55,68,98,14.35,68.03,2.15
56,75,72,-28.24,64.4,16.11
57,90,100,69.45,26.6,9.17
58,64,98,69.71,34.15,18.7
59,0,91,-33.59,66.86,6.62
60,20,29,27.5,78.74,4.5
61,12,100,-23.12,70.78,15.23
62,75,54,-54.8,55.4,4.7
63,0,81,-35.33,60.34,10.76
64,0,89,-5.35,75.28,2.37
65,32,100,60.62,32.0,1.12
66,1,92,60.55,16.77,3.36
67,0,57,-34.48,59.35,19.04
68,75,47,-53.15,59.0,18.34
69,0,13,20.52,93.86,6.51
70,40,88,38.53,71.6,10.29
71,88,53,-21.84,78.29,7.18
72,88,95,-35.1,58.76,12.1
73,90,86,71.29,26.6,12.75
74,0,12,32.87,53.6,4.7
75,75,54,-54.8,55.4,4.7
76,75,69,-0.74,75.2,11.41
77,75,69,-20.34,77.0,13.87
78,24,90,61.81,29.92,7.18
79,92,78,-4.88,85.36,3.94
80,40,73,29.06,75.2,18.34
81,12,78,41.76,34.6,2.71
82,0,100,-8.47,73.61,2.71
83,32,97,10.62,74.29,1.7
84,20,83,-25.02,77.0,28.86
85,68,80,-45.42,35.99,2.93
86,75,79,10.99,87.8,4.7
87,0,83,-35.34,53.09,6.51
88,40,56,6.8,93.2,13.87
89,8,76,-46.23,35.81,5.61
90,1,52,42.1,71.04,10.29
91,48,100,77.48,16.69,4.38
92,56,100,-33.65,63.67,10.76
93,75,54,-54.8,55.4,4.7
94,20,83,-25.02,77.0,28.86
95,1,50,45.02,56.35,9.17
96,56,100,-33.65,63.67,10.76
97,64,98,69.71,34.15,18.7
98,64,98,69.71,34.15,18.7
99,0,86,59.68,33.8,4.47
100,12,100,-23.12,70.78,15.23
101,24,70,-5.2,83.11,18.81
102,88,100,54.72,34.01,5.73
103,92,76,-17.8,70.69,20.94
104,0,100,-24.87,66.91,14.67
105,0,83,48.1,14.21,3.27
106,12,100,9.49,78.88,4.27
107,0,88,-33.02,68.0,9.17
108,0,64,-21.36,74.23,13.87
109,0,80,-0.61,85.58,21.27
110,20,29,27.5,78.74,4.5
111,0,72,41.68,59.0,6.93
112,0,92,20.9,79.42,8.3
113,20,74,7.89,78.57,5.82
114,0,77,-33.93,60.8,19.46
115,36,77,71.69,-12.16,3.27
116,88,100,69.38,31.76,24.96
117,0,38,-34.43,60.17,5.82
118,90,87,49.6,48.74,4.7
119,88,100,-9.8,80.05,11.88
120,90,92,68.35,19.9,2.59
121,12,100,-23.12,70.78,15.23
122,12,100,-23.12,70.78,15.23
123,24,70,-5.2,83.11,18.81
124,0,66,61.94,49.17,4.7
125,20,29,27.5,78.74,4.5
126,12,100,-23.12,70.78,15.23
127,0,98,-37.62,54.44,10.65
128,1,31,41.14,73.13,9.17
129,56,100,-33.65,63.67,10.76
130,0,57,-21.15,74.26,16.11
131,48,98,29.96,68.08,23.51
132,0,32,30.48,78.25,0.25
133,92,87,-24.79,67.81,4.38
134,0,81,-35.33,60.34,10.76
135,24,70,-5.2,83.11,18.81
136,90,87,46.43,55.4,5.82
137,75,62,-42.88,57.2,11.41
138,8,78,31.5,64.48,2.82
139,0,93,39.7,48.2,2.24
140,75,54,-54.8,55.4,4.7
141,20,83,-25.02,77.0,28.86
142,5,84,19.22,86.0,3.83
143,90,100,62.46,32.0,8.05
144,20,83,-25.02,77.0,28.86
145,40,86,56.17,37.4,6.71
146,75,45,42.65,71.33,9.17
147,32,100,60.62,32.0,1.12
148,76,100,-46.13,43.69,8.63
149,8,92,-5.38,73.57,3.6
150,92,87,-24.79,67.81,4.38
151,75,62,-42.78,57.2,11.41
152,8,57,40.43,52.09,9.17
153,0,97,22.57,83.47,10.76
154,12,64,-28.78,78.61,11.21
155,0,71,-34.42,60.29,4.05
156,0,33,10.11,81.08,5.73
157,90,86,71.29,26.6,12.75
158,90,76,46.42,50.0,3.36
159,88,93,-4.05,73.43,1.59
160,40,70,11.28,89.6,6.93
161,56,72,68.53,-5.86,3.04
162,75,45,42.65,71.33,9.17
163,90,70,57.05,43.92,12.75
164,8,100,66.08,35.36,3.83
165,88,96,63.45,22.94,7.18
166,0,86,59.68,33.8,4.47
167,0,28,-39.03,69.8,17.22
168,48,66,59.06,30.14,7.96
169,0,88,-33.02,68.0,9.17
170,12,100,24.34,78.52,26.08
171,68,92,11.0,76.9,6.73
172,40,74,25.09,85.01,16.11
173,92,23,22.68,86.26,10.98
174,1,52,42.1,71.04,10.29
175,36,60,71.92,-6.94,6.17
176,5,84,19.22,86.0,3.83
177,75,69,-0.74,75.2,11.41
178,75,83,5.88,82.4,9.17
179,8,100,-0.6,82.61,9.64
180,75,54,-54.8,55.4,4.7
181,92,84,5.48,79.78,3.71
182,0,71,-33.52,61.64,26.64
183,12,86,-12.52,65.38,6.4
184,75,88,35.13,76.21,34.45
185,0,100,-10.62,78.25,3.71
186,40,70,-22.97,83.28,4.7
187,8,29,60.92,51.8,10.29
188,1,20,37.1,55.4,2.93
189,24,70,-5.2,83.11,18.81
190,0,76,-25.3,75.41,13.22
191,12,100,-23.12,70.78,15.23
192,68,100,72.79,27.89,6.17
193,64,98,69.71,34.15,18.7
194,36,100,3.07,82.75,5.95
195,75,88,19.73,71.6,3.36
196,56,95,14.08,73.88,2.04
197,1,85,57.79,21.2,8.05
198,0,83,57.02,22.45,2.93
199,0,45,14.25,79.24,2.93
200,40,94,-9.43,77.0,4.7
201,0,53,-1.2,90.49,16.91
202,0,92,20.9,79.42,8.3
203,0,77,-33.93,60.8,19.46
204,0,23,16.77,87.88,6.62
205,36,77,71.69,-12.16,3.27
206,12,100,-23.12,70.78,15.23
207,0,29,-5.89,95.66,13.67
208,1,35,39.47,51.04,3.36
209,24,86,54.44,28.21,11.43
210,0,57,39.83,37.21,7.4
211,90,81,50.1,46.4,19.46
212,0,86,59.68,33.8,4.47
213,92,98,-35.17,59.21,14.23
214,40,70,-22.97,83.28,4.7
215,80,29,-15.82,95.21,9.42
216,0,73,-15.77,71.6,3.36
217,0,71,39.23,23.17,1.48
218,36,100,73.51,23.08,21.83
219,0,86,71.04,32.77,8.05
220,75,47,-53.15,59.0,18.34
221,8,100,-0.6,82.61,9.64
222,12,100,-23.12,70.78,15.23
223,12,100,-23.12,70.78,15.23
224,75,45,42.65,71.33,9.17
225,75,69,-20.52,77.0,13.87
226,64,98,69.71,34.15,18.7
227,90,87,55.34,47.61,8.05
228,80,85,71.97,12.46,2.48
229,0,91,-33.59,66.86,6.62
230,0,88,-33.02,68.0,9.17
231,56,100,-3.8,80.05,8.41
232,90,100,69.45,26.6,9.17
233,8,33,-15.62,89.63,13.56
234,75,87,40.6,60.98,10.29
235,0,100,10.57,81.13,5.73
236,48,81,68.05,5.35,2.26
237,1,62,36.68,60.82,3.36
238,75,54,-54.8,55.4,4.7
239,8,100,-0.6,82.61,9.64
240,88,100,-9.8,80.05,11.88
241,36,95,-6.38,79.73,15.23
242,1,28,34.64,69.89,6.4
243,1,40,41.31,73.8,5.82
244,56,100,-3.8,80.05,8.41
245,20,74,70.03,33.8,19.46
246,0,70,23.61,86.0,2.24
247,12,100,-23.12,70.78,15.23
248,90,92,68.22,18.52,2.24
249,44,85,54.7,29.83,10.54
250,48,78,60.75,28.16,12.44
251,1,31,41.37,72.39,9.17
252,0,91,-33.59,66.86,6.62
253,0,91,-33.59,66.86,6.62
254,90,92,64.84,9.09,4.7
255,90,81,50.1,46.4,19.46
256,8,29,60.92,51.8,10.29
257,88,100,-46.6,49.0,15.9
258,1,52,42.1,71.04,10.29
259,75,45,42.65,71.33,9.17
260,0,81,50.35,25.91,4.72
261,36,60,71.92,-6.94,6.17
262,36,100,73.51,23.08,21.83
263,12,100,-23.12,70.78,15.23
264,90,69,47.6,37.4,31.09
265,0,93,-34.53,60.43,12.55
266,76,100,-19.55,76.63,10.76
267,92,87,-24.79,67.81,4.38
268,44,100,-2.02,82.93,0.92
269,92,23,22.68,86.26,10.98
270,0,93,-34.53,60.43,12.55
271,75,69,-17.53,78.8,2.24
272,12,100,-23.12,70.78,15.23
273,90,93,-32.72,55.4,9.17
274,75,54,-54.8,55.4,4.7
275,90,92,64.86,9.09,4.7
276,0,77,-33.93,60.8,19.46
277,68,82,37.38,49.94,3.04
278,0,79,-30.18,63.22,18.25
279,56,96,47.75,38.83,9.42
280,0,30,23.13,77.35,11.65
281,44,78,-30.55,61.33,1.36
282,20,68,-21.2,69.8,13.11
283,75,77,31.51,66.45,9.17
284,88,100,-9.8,80.05,11.88
285,20,100,-2.57,83.92,5.06
286,75,81,50.34,52.88,18.34
287,75,54,-54.8,55.4,4.7
288,20,33,34.67,75.2,3.36
289,75,93,45.52,56.91,14.99
290,75,47,-53.15,59.0,18.34
291,88,100,-8.43,76.09,3.6
292,0,40,7.99,97.73,8.86
293,76,79,69.49,24.16,4.61
294,32,100,-8.77,77.53,3.6
295,68,80,-45.42,35.99,2.93
296,12,100,-23.12,70.78,15.23
297,36,60,71.92,-6.94,6.17
298,90,100,62.46,32.0,8.05
299,0,91,-33.59,66.86,6.62
300,75,62,-42.88,57.2,11.41
301,68,94,62.15,28.66,2.93
302,75,83,-19.8,75.2,13.87
303,75,54,-54.8,55.4,4.7
304,0,63,-33.01,62.6,12.75
305,40,88,22.08,72.41,6.93
306,64,100,69.7,24.34,16.13
307,20,29,27.5,78.74,4.5
308,90,100,62.46,32.0,8.05
309,0,51,20.93,80.6,14.99
310,1,77,20.89,68.59,6.93
311,0,93,-34.53,60.43,12.55
312,0,71,46.65,52.99,4.7
313,56,61,-9.91,89.54,3.6
314,1,78,64.5,17.6,10.29
315,1,52,42.1,71.04,10.29
316,20,25,-25.24,66.2,4.7
317,90,86,71.29,26.6,12.75
318,92,99,16.13,79.73,5.5
319,0,81,50.03,44.6,14.99
320,12,100,-23.12,70.78,15.23
321,8,100,-17.71,77.21,17.47
322,40,37,-32.03,68.0,20.8
323,75,83,37.72,71.6,11.41
324,75,93,66.04,42.8,7.4
325,0,98,-37.62,54.44,10.65
326,40,88,22.08,72.41,6.93
327,0,86,59.68,33.8,4.47
328,75,94,34.67,71.6,40.26
329,0,77,-33.93,60.8,19.46
330,90,70,57.05,43.92,12.75
331,75,47,-53.15,59.0,18.34
332,75,72,43.41,60.8,2.24
333,75,54,-54.8,55.4,4.7
334,40,88,22.08,72.41,6.93
335,36,63,45.6,66.19,4.72
336,48,100,32.69,71.59,36.26
337,88,88,28.23,56.02,3.15
338,40,88,38.53,71.6,10.29
339,75,62,-42.78,57.2,11.41
340,48,100,-34.73,52.46,7.29
341,0,77,-33.93,60.8,19.46
342,36,100,3.07,82.75,5.95
343,75,82,-33.92,66.2,11.41
344,64,100,5.5,82.79,2.59
345,75,53,43.23,70.86,13.87
346,75,62,-42.88,57.2,11.41
347,0,49,22.28,73.35,14.99
348,36,60,71.92,-6.94,6.17
349,75,47,-53.15,59.0,18.34
350,90,87,48.58,53.26,8.05
351,68,52,-43.3,65.02,26.98
352,48,100,77.48,16.69,4.38
353,0,77,-33.93,60.8,19.46
354,76,80,-6.66,83.11,3.15
355,0,86,59.68,33.8,4.47
356,48,73,53.75,21.64,4.05
357,12,86,55.31,25.78,10.2
358,76,34,16.15,89.77,3.04
359,24,55,-12.38,72.31,5.61
360,12,100,-23.12,70.78,15.23
361,56,100,-33.65,63.67,10.76
362,20,83,-25.02,77.0,28.86
363,75,47,-53.15,59.0,18.34
364,44,78,-30.55,61.33,1.36
365,56,96,47.75,38.83,9.42
366,20,74,65.61,37.4,3.36
367,48,100,77.48,16.69,4.38
368,0,86,14.25,69.16,7.29
369,20,68,-21.2,69.8,13.11
370,12,100,6.12,80.86,12.1
371,88,98,27.93,54.08,1.81
372,12,100,-23.12,70.78,15.23
373,0,77,-33.93,60.8,19.46
374,32,97,-0.03,78.61,4.38
375,90,72,-28.77,66.2,4.7
376,8,100,-17.71,77.21,17.47
377,12,100,-23.12,70.78,15.23
378,88,100,-9.8,80.05,11.88
379,75,69,-20.29,77.0,13.87
380,44,99,-16.52,79.69,10.42
381,40,88,22.08,72.41,6.93
382,20,31,-14.61,87.8,13.87
383,90,69,47.67,37.4,31.09
384,40,70,-22.97,83.28,4.7
385,1,38,41.7,73.98,13.56
386,8,57,40.43,52.09,9.17
387,75,88,40.5,66.9,8.05
388,40,88,38.52,71.6,10.29
389,0,98,-37.62,54.44,10.65
390,75,87,40.6,60.98,10.29
391,0,88,-33.02,68.0,9.17
392,88,100,25.7,57.19,2.04
393,92,98,17.77,73.84,2.82
394,0,100,62.33,32.0,2.24
395,56,100,-3.8,80.05,8.41
396,0,93,-36.03,44.67,5.82
397,0,57,40.28,31.54,2.26
398,75,78,28.66,75.2,12.75
399,92,96,50.68,43.51,24.74
400,12,100,-23.12,70.78,15.23
401,1,53,41.28,70.86,5.82
402,48,100,77.48,16.69,4.38
403,0,71,-33.7,61.64,26.64
404,56,65,70.63,-3.57,5.61
405,90,87,46.43,55.4,5.82
406,75,47,-53.15,59.0,18.34
407,80,88,16.7,78.8,3.36
408,90,100,62.46,32.0,8.05
409,0,69,-25.17,76.0,15.68
410,68,100,61.17,33.8,4.7
411,90,96,55.74,33.8,11.41
412,44,100,64.38,29.02,17.02
413,0,63,-33.01,62.6,12.75
414,75,45,42.65,71.33,9.17
415,0,77,-26.65,59.89,15.01
416,92,87,-24.79,67.81,4.38
417,68,92,11.0,76.9,6.73
418,0,59,16.89,93.2,4.7
419,1,22,44.08,56.16,11.41
420,1,37,47.43,53.89,11.41
421,0,44,27.98,81.85,0.36
422,75,54,-54.8,55.4,4.7
423,0,13,29.97,77.0,4.7
424,48,78,60.75,28.16,12.44
425,88,81,66.77,15.25,9.42
426,90,100,62.46,32.0,8.05
427,75,74,21.8,86.0,9.17
428,0,71,-34.42,60.29,4.05
429,90,96,55.74,33.8,11.41
430,80,96,-35.62,61.01,15.46
431,75,87,40.6,60.98,10.29
432,40,73,-21.21,75.2,2.24
433,75,69,-20.01,77.0,13.87
434,75,54,-54.8,55.4,4.7
435,0,93,-34.53,60.43,12.55
436,75,47,-53.15,59.0,18.34
437,75,47,-53.15,59.0,18.34
438,1,52,42.1,71.04,10.29
439,75,62,-42.78,57.2,11.41
440,88,100,-9.8,80.05,11.88
441,0,86,37.29,68.71,13.0
442,75,47,-53.15,59.0,18.34
443,0,64,-21.36,74.23,13.87
444,0,29,41.51,37.4,13.42
445,88,100,25.7,57.19,2.04
446,75,69,-17.73,78.8,2.24
447,75,88,35.13,76.21,34.45
448,40,73,-21.21,75.2,2.24
449,8,76,-46.23,35.81,5.61
450,75,62,-42.78,57.2,11.41
451,75,88,21.42,77.0,3.36
452,12,100,-23.12,70.78,15.23
453,8,29,60.92,51.8,10.29
454,76,81,65.01,28.12,3.71
455,0,77,-33.93,60.8,19.46
456,88,100,-46.6,49.0,15.9
457,8,29,60.92,51.8,10.29
458,1,55,38.03,60.15,9.17
459,75,54,-54.8,55.4,4.7
460,20,89,3.12,70.46,1.81
461,75,54,-54.8,55.4,4.7
462,0,77,-33.93,60.8,19.46
463,0,61,-4.58,80.6,9.17
464,8,100,66.08,35.36,3.83
465,0,68,24.2,71.14,4.38
466,0,57,-34.48,59.35,19.04
467,75,47,-53.15,59.0,18.34
468,20,29,27.5,78.74,4.5
469,64,100,69.7,24.34,16.13
470,75,69,-20.41,77.0,13.87
471,44,41,-26.62,70.64,6.4
472,0,77,-33.93,60.8,19.46
473,12,100,-23.12,70.78,15.23
474,0,77,-26.65,59.89,15.01
475,92,97,34.74,51.97,4.16
476,44,96,21.8,73.3,2.71
477,75,54,-54.8,55.4,4.7
478,8,57,40.43,52.09,9.17
479,40,70,7.08,87.8,3.36
480,20,100,0.78,83.47,4.38
481,1,52,42.1,71.04,10.29
482,76,100,28.37,77.98,26.53
483,0,81,17.98,86.8,4.16
484,12,100,64.75,21.82,24.07
485,75,88,19.73,71.6,3.36
486,0,49,27.13,68.66,3.15
487,56,100,-33.65,63.67,10.76
488,90,72,-28.77,66.2,4.7
489,0,37,-27.46,71.6,12.75
490,40,70,-22.97,83.28,4.7
491,0,88,-33.02,68.0,9.17
492,0,48,26.8,67.09,3.83
493,24,74,23.23,61.96,5.17
494,90,86,71.29,26.6,12.75
495,75,54,-54.8,55.4,4.7
496,75,47,-53.15,59.0,18.34
497,92,76,-17.8,70.69,20.94
498,88,100,-9.8,80.05,11.88
499,24,100,8.12,78.97,5.84
